media,judul,waktu,link
Kementerian Pertahanan Republik Indonesia,Wamenhan Bersama Badan Informasi Geospasial Bahas Penguatan Informasi untuk Pertahanan,25/02/2025,https://www.kemhan.go.id/2025/02/25/wamenhan-bersama-badan-informasi-geospasial-bahas-penguatan-informasi-untuk-pertahanan.html
ANTARA News,DPR RI terima usulan penambahan anggaran BIG dari pinjaman luar negeri,26/02/2025,https://www.antaranews.com/berita/4675893/dpr-ri-terima-usulan-penambahan-anggaran-big-dari-pinjaman-luar-negeri
Tempo.co,"Selesaikan Peta 1:5000, BIG Minta Tambah Anggaran Rp 810 Miliar dari Utang LN",28/02/2025,https://www.tempo.co/sains/selesaikan-peta-1-5000-big-minta-tambah-anggaran-rp-810-miliar-dari-utang-ln-1213559
ANTARA News,BIG: Penyediaan peta dasar 1:5.000 jadi kebutuhan mendesak bagi RI,26/02/2025,https://www.antaranews.com/berita/4676061/big-penyediaan-peta-dasar-15000-jadi-kebutuhan-mendesak-bagi-ri
ITERA,Tim Itera Kembangkan Radio Tempoyak untuk Merekam Aktivitas Matahari,21/02/2025,https://www.itera.ac.id/tim-itera-kembangkan-radio-tempoyak-untuk-merekam-aktivitas-matahari/
Pemerintah Kota Tangerang,"Kado Indah HUT Ke-32, Pemkot Tangerang Catat Sederet Prestasi Gemilang Setahun Terakhir",28/02/2025,https://tangerangkota.go.id/berita/detail/50029/kado-indah-hut-ke-32-pemkot-tangerang-catat-sederet-prestasi-gemilang-setahun-terakhir
jakarta.times.co.id,Pemerintah Butuh Peta Dasar Skala 1:5.000 untuk Percepatan Tata Ruang,26/02/2025,https://jakarta.times.co.id/news/berita/8ulJZjwQy/Pemerintah-Butuh-Peta-Dasar-Skala-15000-untuk-Percepatan-Tata-Ruang
Kompas.com,"Baru Terpetakan 3 Persen, Peta Dasar Skala Besar Dinilai Kebutuhan Mendesak RI",27/02/2025,https://lestari.kompas.com/read/2025/02/27/070000886/baru-terpetakan-3-persen-peta-dasar-skala-besar-dinilai-kebutuhan-mendesak
Kementerian Agama RI,Kemenag Terima Software Alfalak 2025 untuk Permudah Hisab Awal Bulan Hijriah,21/02/2025,https://kemenag.go.id/nasional/kemenag-terima-software-alfalak-2025-untuk-permudah-hisab-awal-bulan-hijriah-yfnAy
NU Online Lampung,Pemerintah Tetapkan 1 Ramadhan 1446 H Jatuh pada Sabtu 1 Maret 2025,28/02/2025,https://lampung.nu.or.id/warta/pemerintah-tetapkan-1-ramadhan-1446-h-jatuh-pada-sabtu-1-maret-2025-wunFs
RRI.co.id,"Edukasi Mitigasi Bencana, Kunci menghadapi Gempa",21/02/2025,https://www.rri.co.id/iptek/1338782/edukasi-mitigasi-bencana-kunci-menghadapi-gempa
Fraksi PKS,"Komisi XII FPKS Muh Haris : Fraksi PKS Setujui Rekonstruksi Anggaran Kemen ESDM, LH, BIG, BKPM, dan BAPETEN",14/02/2025,https://fraksi.pks.id/2025/02/14/komisi-xii-fpks-muh-haris-fraksi-pks-setujui-rekonstruksi-anggaran-kemen-esdm-lh-big-bkpm-dan-bapeten/
Wartakotalive.com,Link Streaming Sidang Isbat Kementerian Agama Penentuan Awal Ramadan 2025,28/02/2025,https://wartakota.tribunnews.com/2025/02/28/link-streaming-sidang-isbat-kementerian-agama-penentuan-awal-ramadan-2025
Beritaja.com,Big: Penyediaan Peta Dasar 1:5.000 Jadi Kebutuhan Mendesak Bagi Ri,25/02/2025,https://beritaja.com/big-penyediaan-peta-dasar-1-5-000-jadi-kebutuhan-mendesak-bagi-ri-beritaja-288563.html
Tirto.id,"Daftar Jurusan yang Sedikit Peminat, tapi Peluang Kerja Besar",13/02/2025,https://tirto.id/daftar-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar-g8fW
Tempo.co,"Anggaran Kementerian ATR/BPN Tersisa Rp 4,4 Triliun usai Pemangkasan",12/02/2025,https://www.tempo.co/ekonomi/anggaran-kementerian-atr-bpn-tersisa-rp-4-4-triliun-usai-pemangkasan-1206092
ANTARA News,Pemerintah perkuat integrasi data pertanahan lewat ILASP,05/02/2025,https://www.antaranews.com/berita/4628285/pemerintah-perkuat-integrasi-data-pertanahan-lewat-ilasp
Melintas,Update Usul Penetapan NIP P3K Tahap 1 Tahun 2024 per 25 Februari 2025: Daerah yang Belum Mengusulkan - Melintas,28/02/2025,https://www.melintas.id/news/345701300/update-usul-penetapan-nip-p3k-tahap-1-tahun-2024-per-25-februari-2025-daerah-yang-belum-mengusulkan
