media,judul,waktu,link
Tempo.co,Badan Informasi Geospasial Pastikan 4 Nama Pulau Aceh Tetap Sama,28/06/2025,https://www.tempo.co/politik/badan-informasi-geospasial-pastikan-4-nama-pulau-aceh-tetap-sama-1825484
Kompas.id,Penetapan Perubahan Status 4 Pulau Dikaji Ulang,19/06/2025,https://www.kompas.id/artikel/penetapan-perubahan-status-4-pulau-dikaji-ulang
ANTARA News,BRIN dorong kemudahan akses dalam memperoleh informasi geospasial,27/06/2025,https://www.antaranews.com/berita/4926325/brin-dorong-kemudahan-akses-dalam-memperoleh-informasi-geospasial
Rmol.id,Tito Gercep Revisi Kepmendagri Melibatkan Badan Geospasial,19/06/2025,https://rmol.id/politik/read/2025/06/18/670374/tito-gercep-revisi-kepmendagri-melibatkan-badan-geospasial
RRI.co.id,Kominfo Purbalingga Gandeng BIG Gelar Bimtek Satu Data,03/06/2025,https://www.rri.co.id/jawa-tengah/daerah/1561632/kominfo-purbalingga-gandeng-big-gelar-bimtek-satu-data
Pemerintah Kabupaten Banjar,"BAPPEDALITBANG BANJAR IKUTI RAKOR GEOSPASIAL KALSEL, PERKUAT PERENCANAAN PEMBANGUNAN BERBASIS DATA SPASIAL",03/06/2025,https://home.banjarkab.go.id/bappedalitbang-banjar-ikuti-rakor-geospasial-kalsel-perkuat-perencanaan-pembangunan-berbasis-data-spasial/
Diskominfo Provsu,"Bukan di Masa Bobby Nasution, Status Empat Pulau Sudah Ditetapkan Kemendagri Masuk Sumut Sejak 2022",12/06/2025,https://diskominfo.sumutprov.go.id/page/berita/bukan-di-masa-bobby-nasution-status-empat-pulau-sudah-ditetapkan-kemendagri-masuk-sumut-sejak-2022
Inilah.com,Pemerintah Dituntut Selesaikan Sengketa Pulau dengan Pertimbangkan Berbagai Aspek,12/06/2025,https://www.inilah.com/pemerintah-harus-selesaikan-sengketa-empat-pulau-yang-libatkan-aceh-dan-sumut-dengan-cara-elegan
LacakPos.co.id,"Hukumtua Desa Kumu Hadir dalam Rapat Penegasan Batas Desa Kab, Minahasa Difasilitasi BIG",28/06/2025,https://lacakpos.co.id/2025/06/27/hukumtua-desa-kumu-hadir-dalam-rapat-penegasan-batas-desa-kab-minahasa-difasilitasi-big/
MetroTVNews.com,Ini Alasan Kemendagri Pindahkan Administasi 4 Pulau di Aceh ke Sumut,19/06/2025,https://www.metrotvnews.com/read/b2lCp99J-ini-alasan-kemendagri-pindahkan-administasi-4-pulau-di-aceh-ke-sumut
Kompas.com,"Belajar dari Sengketa 4 Pulau Aceh, BIG Tegaskan Pentingnya Data Geospasial",19/06/2025,https://bandung.kompas.com/read/2025/06/19/220416078/belajar-dari-sengketa-4-pulau-aceh-big-tegaskan-pentingnya-data-geospasial
Tempo.co,Ragam Tanggapan Soal 4 Pulau antara Aceh dan Sumatera Utara,12/06/2025,https://www.tempo.co/politik/ragam-tanggapan-soal-4-pulau-antara-aceh-dan-sumatera-utara-1685788
